wl_nm,n,k,alpha_abs_percm,alpha_scat_percm,alphad_abs,alphad_scat,yag_ref_n,T_model,T_meas,s12_model,s12_meas,s33_model,s33_meas,s34_model,s34_meas
561.0,1.8339804517556433,4.6202103675104957e-188,1.0349247022182083e-182,3.7385986328284786,1.0349247022182083e-183,0.37385986328284787,1.835111267437506,0.5761047739190441,0.58609,-0.9967558525601105,-1.001565,-0.07947183042337187,-0.08373,1.3154035690600104e-18,0.0025700000000000002
562.0,1.8338771078034792,1.3038117498524577e-186,2.915334814946999e-181,3.7378716912729595,2.9153348149469992e-182,0.3737871691272959,1.8350178446910177,0.5761653431032222,0.58646,-0.9967621068547519,-1.001535,-0.07939537557622933,-0.08394499999999999,-2.623531597681467e-19,0.002255
563.0,1.8337743344238426,3.587789345728006e-185,8.008080036352991e-180,3.7371461830301316,8.00808003635299e-181,0.37371461830301317,1.8349249141161805,0.5762257333128459,0.58635,-0.9967683210627872,-1.001225,-0.0793193366473553,-0.08360000000000001,-8.198369818549718e-20,0.002155
564.0,1.833672127316363,9.62912483471672e-184,2.145445946187594e-178,3.736422102735599,2.145445946187594e-179,0.3736422102735599,1.8348324719919384,0.5762859455764708,0.58675,-0.996774495534209,-1.0012050000000001,-0.07924371056489209,-0.083445,-2.1428594103971134e-19,0.002325
565.0,1.8335704822214332,2.521056728414811e-182,5.607174015767142e-177,3.735699445054507,5.607174015767142e-178,0.3735699445054507,1.8347405146322133,0.5763459809141628,0.58703,-0.99678063061518,-1.001355,-0.07916849428539742,-0.083705,6.943877751097818e-19,0.00233
566.0,1.8334693949197425,6.440233090271257e-181,1.429864944438309e-175,3.734978204681331,1.429864944438309e-176,0.37349782046813307,1.8346490383855063,0.5764058403375918,0.58693,-0.9967867266480837,-1.00156,-0.0790936847935272,-0.083885,4.470809877006635e-19,0.001775
567.0,1.833368861231816,1.6055733059067365e-179,3.5584178501844666e-174,3.73425837633966,3.5584178501844666e-175,0.37342583763396603,1.8345580396345054,0.5764655248501173,0.58684,-0.9967927839715723,-1.001725,-0.07901927910172331,-0.0833,-8.480970939436668e-19,0.00211
568.0,1.8332688770175576,3.907094153127808e-178,8.644012879119688e-173,3.7335399547819943,8.644012879119688e-174,0.3733539954781994,1.8344675147956995,0.576525035446876,0.58555,-0.9967988029206168,-1.00139,-0.07894527424990488,-0.08366,7.469414205574807e-20,0.002045
569.0,1.8331694381758021,9.282342518531964e-177,2.0500062611124215e-171,3.7328229347895223,2.0500062611124217e-172,0.3732822934789522,1.834377460318996,0.5765843731148714,0.58438,-0.9968047838265558,-1.001175,-0.07887166730516193,-0.08382500000000001,2.1961414046859925e-19,0.0016
570.0,1.8330705406438732,2.1534027672745585e-175,4.747448641326094e-170,3.7321073111719305,4.7474486413260945e-171,0.37321073111719305,1.8342878726873442,0.5766435388330551,0.58399,-0.9968107270171397,-1.00133,-0.07879845536145719,-0.08341000000000001,-3.698367727513857e-20,0.00212
571.0,1.8329721803971446,4.879104336246519e-174,1.0737764160315353e-168,3.7313930787671823,1.0737764160315352e-169,0.37313930787671823,1.834198748416364,0.5767025335724129,0.58378,-0.9968166328165803,-1.001385,-0.07872563553932703,-0.08344499999999999,6.870822074596775e-19,0.00264
572.0,1.8328743534486107,1.0799024337052277e-172,2.3724570295958617e-167,3.730680232441327,2.3724570295958614e-168,0.3730680232441327,1.8341100840539784,0.5767613582960484,0.58435,-0.9968225015455957,-1.0014150000000002,-0.07865320498559025,-0.0834,-1.1065886075790844e-18,0.002425
573.0,1.8327770558484588,2.3352864076212397e-171,5.121478968384632e-166,3.7299687670882906,5.121478968384633e-167,0.37299687670882903,1.8340218761800522,0.5768200139592652,0.58276,-0.9968283335214551,-1.0014,-0.0785811608730565,-0.083025,-7.065719772687882e-19,0.00216
574.0,1.8326802836836522,4.935008176403258e-170,1.0804031660204903e-164,3.729258677629679,1.0804031660204904e-165,0.37292586776296793,1.8339341214060347,0.5768785015096455,0.58212,-0.9968341290580235,-1.0017,-0.07850950040024351,-0.08316,-6.144246307468096e-19,0.002035
575.0,1.832584033077513,1.0193135943459633e-168,2.2276647650097284e-163,3.7285499590145816,2.2276647650097283e-164,0.37285499590145815,1.833846816374607,0.576936821887135,0.58326,-0.9968398884658054,-1.00134,-0.07843822079109287,-0.083115,2.1105625736589776e-19,0.00193
576.0,1.8324883001893162,2.05816101450642e-167,4.490210779915476e-162,3.7278426062193715,4.490210779915476e-163,0.37278426062193715,1.8337599577593333,0.5769949760241169,0.58219,-0.9968456120519888,-1.00114,-0.07836731929469369,-0.08316000000000001,1.3892146306369723e-18,0.0021
577.0,1.832393081213883,4.063320820677909e-166,8.849427271695092e-161,3.727136614247513,8.849427271695091e-162,0.37271366142475126,1.8336735422643198,0.5770529648454923,0.58059,-0.996851300120487,-1.001535,-0.07829679318500629,-0.0828,6.853901286497579e-19,0.002165
578.0,1.832298372381187,7.84496548235148e-165,1.705583801177918e-159,3.726431978129367,1.7055838011779182e-160,0.37264319781293676,1.8335875666238735,0.577110789268758,0.58114,-0.9968569529719798,-1.001385,-0.07822663976059228,-0.08255,2.4132215154625867e-19,0.002235
579.0,1.8322041699559573,1.4814477423365233e-163,3.2152713948197627e-158,3.725728692922006,3.215271394819763e-159,0.3725728692922006,1.8335020276021687,0.5771684502040811,0.58018,-0.9968625709039559,-1.00153,-0.07815685634434619,-0.08275,-1.0826187886166705e-19,0.002225
580.0,1.8321104702372937,2.7368030551105324e-162,5.929600256729207e-157,3.725026753709017,5.929600256729207e-158,0.3725026753709017,1.8334169219929177,0.5772259485543764,0.57819,-0.9968681542107541,-1.0014850000000002,-0.07808744028323202,-0.08225,-4.586667317079989e-20,0.0019
581.0,1.8320172695582821,4.946961642417998e-161,1.0699716594430899e-155,3.7243261556003167,1.0699716594430899e-156,0.37243261556003165,1.8333322466190436,0.5772832852153774,0.57814,-0.9968737031836009,-1.00129,-0.07801838894802143,-0.08199500000000001,7.600320781294884e-19,0.00212
582.0,1.8319245642856197,8.750776385891251e-160,1.8894415674998625e-154,3.723626893731968,1.889441567499862e-155,0.3723626893731968,1.833247998332359,0.5773404610757107,0.58137,-0.996879218110653,-1.00125,-0.07794969973303632,-0.08218500000000001,-2.6247101643375376e-19,0.00243
583.0,1.8318323508192382,1.5151037420381373e-158,3.265755598911436e-153,3.7229289632659914,3.265755598911436e-154,0.3722928963265992,1.83316417401325,0.5773974770169734,0.58466,-0.9968846992770339,-1.001225,-0.07788137005589489,-0.08222499999999999,-9.39858963749749e-20,0.0022050000000000004
584.0,1.8317406255919406,2.5680300954796762e-157,5.5258249877783874e-152,3.7222323593901874,5.525824987778388e-153,0.37222323593901874,1.833080770570361,0.5774543339137945,0.58221,-0.9968901469648731,-1.00128,-0.07781339735726013,-0.08222499999999999,9.449267900657536e-19,0.0020800000000000003
585.0,1.831649385069035,4.2618057353475727e-156,9.154774419962243e-151,3.7215370773179473,9.154774419962243e-152,0.3721537077317947,1.8329977849402859,0.5775110326339169,0.58205,-0.9968955614533435,-1.001595,-0.0777457791005928,-0.08222,-1.5228735714368884e-18,0.001955
586.0,1.8315586257479777,6.92622595880181e-155,1.4852819514863268e-149,3.7208431122880823,1.485281951486327e-150,0.3720843112288082,1.8329152140872638,0.5775675740382574,0.58305,-0.9969009430186997,-1.00152,-0.07767851277190523,-0.082015,2.758450995956906e-18,0.002125
587.0,1.831468344158019,1.1025108512814726e-153,2.3602316803331535e-148,3.7201504595646413,2.3602316803331538e-149,0.3720150459564641,1.832833055002876,0.5776239589809826,0.58218,-0.9969062919343128,-1.0011999999999999,-0.07761159587952057,-0.08213000000000001,3.0779655930288976e-19,0.002295
588.0,1.8313785368598552,1.7192004851544678e-152,3.6741684450403297e-147,3.719459114436733,3.67416844504033e-148,0.3719459114436733,1.8327513047057504,0.5776801883095732,0.5803,-0.9969116084707085,-1.001065,-0.07754502595383388,-0.08218500000000001,2.1482829606076782e-19,0.00219
589.0,1.8312892004452817,2.6266542593428918e-151,5.60399166361424e-146,3.7187690722183535,5.60399166361424e-147,0.37187690722183536,1.832669960241265,0.577736262864893,0.58134,-0.9969168928956005,-1.001155,-0.07747880054707591,-0.081735,-3.2175547339712785e-19,0.0021599999999999996
