Baseline 100%T,,5%,,10%,,15%,,A,,A!,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1087,0.21873115,1087,2.768184185,1087,2.75667119,1087,2.754369974,1087,0.1454249918,1087,0.1331073493,
1086,0.2187478244,1086,2.781106472,1086,2.708284616,1086,2.752928734,1086,0.1452794522,1086,0.1330688298,
1085,0.2187312394,1085,2.713496208,1085,2.739874363,1085,2.741511822,1085,0.1453760415,1085,0.1329825073,
1084,0.2187564671,1084,2.767654419,1084,2.750380516,1084,2.762037516,1084,0.1453991234,1084,0.1329959333,
1083,0.2187661976,1083,2.787417173,1083,2.755756617,1083,2.738376856,1083,0.1454383731,1083,0.1329995543,
1082,0.2187877893,1082,2.779159069,1082,2.731875658,1082,2.788262367,1082,0.1453482509,1082,0.1331356168,
1081,0.2188818753,1081,2.741364956,1081,2.801614761,1081,2.750656843,1081,0.145391047,1081,0.1329737902,
1080,0.2187886834,1080,2.773511171,1080,2.769571304,1080,2.726051569,1080,0.1455930173,1080,0.1331645399,
1079,0.2189223617,1079,2.741269112,1079,2.741633415,1079,2.723667622,1079,0.1454638541,1079,0.1329879612,
1078,0.2188937813,1078,2.731780529,1078,2.755262375,1078,2.713471651,1078,0.1454420686,1078,0.133054316,
1077,0.2189633846,1077,2.729848385,1077,2.703604937,1077,2.708971739,1077,0.145347923,1077,0.1330582798,
1076,0.2188685536,1076,2.783026934,1076,2.780572653,1076,2.738755703,1076,0.145618096,1076,0.1333281994,
1075,0.2189160287,1075,2.791270733,1075,2.75396347,1075,2.748748541,1075,0.1454902589,1075,0.1332356632,
1074,0.2189388275,1074,2.762639999,1074,2.749367237,1074,2.788093805,1074,0.1455898583,1074,0.1331461072,
1073,0.2191033363,1073,2.764270306,1073,2.756714344,1073,2.786099195,1073,0.1453862339,1073,0.1331072003,
1072,0.2190133184,1072,2.768528938,1072,2.758333683,1072,2.771586657,1072,0.1455670595,1072,0.1330475509,
1071,0.219106555,1071,2.851429939,1071,2.74222517,1071,2.764770269,1071,0.1455074847,1071,0.1331642866,
1070,0.2191486508,1070,2.790887833,1070,2.798614979,1070,2.761837244,1070,0.1455222219,1070,0.1331058592,
1069,0.2190722525,1069,2.785688639,1069,2.771418333,1069,2.773985863,1069,0.145613566,1069,0.1332077235,
1068,0.2191359997,1068,2.722934484,1068,2.763513088,1068,2.826433897,1068,0.1457205117,1068,0.1333116591,
1067,0.2191671282,1067,2.800017118,1067,2.781677246,1067,2.752819061,1067,0.1455355436,1067,0.1330367625,
1066,0.2191568762,1066,2.720737219,1066,2.726137638,1066,2.823203564,1066,0.1455948949,1066,0.1331003457,
1065,0.2191573977,1065,2.750629425,1065,2.79817009,1065,2.768825293,1065,0.145672828,1065,0.1330857873,
1064,0.2193281651,1064,2.726024628,1064,2.756165028,1064,2.733760357,1064,0.145608142,1064,0.1332659125,
1063,0.2193068117,1063,2.750925779,1063,2.822409868,1063,2.782089472,1063,0.1457469761,1063,0.1330958456,
1062,0.2193030268,1062,2.785426378,1062,2.781812906,1062,2.71768856,1062,0.1456561834,1062,0.1331111044,
1061,0.2192977071,1061,2.758617878,1061,2.739214182,1061,2.769805431,1061,0.1457489282,1061,0.1333494484,
1060,0.2193511128,1060,2.79685998,1060,2.735598326,1060,2.76820755,1060,0.1456418037,1060,0.1332812607,
1059,0.2192919254,1059,2.764448404,1059,2.766109943,1059,2.738260984,1059,0.1458775699,1059,0.133399874,
1058,0.2193850875,1058,2.757811069,1058,2.774031639,1058,2.751663446,1058,0.145939827,1058,0.1333291829,
1057,0.2193759978,1057,2.751740932,1057,2.760269403,1057,2.794619083,1057,0.1459208131,1057,0.1334847063,
1056,0.21944125,1056,2.824076414,1056,2.817887068,1056,2.784426212,1056,0.1458553672,1056,0.1334436685,
1055,0.219612509,1055,2.770447493,1055,2.809844255,1055,2.791087627,1055,0.1458189338,1055,0.1334339082,
